text,label
"URGENT Account Suspended verify now http://bit.ly/secure-verify enter password immediately",phishing
"Your PayPal has been locked click http://paypal-secure.xyz to restore access now",phishing
"Congratulations you won $10000 lottery send bank account number to claim prize today",phishing
"IRS Notice tax refund $2500 verify SSN and bank routing number to receive funds",phishing
"Microsoft Security Alert your account hacked enter OTP code immediately to secure",phishing
"Job vacancy $5000 monthly salary no experience needed send CV passport bank details",phishing
"Netflix payment failed update credit card at http://netflix-billing.tk within 24 hours",phishing
"Bank fraud alert unusual transaction detected verify identity enter PIN and password",phishing
"Amazon package held update billing address credit card number to release delivery",phishing
"Dear winner claim $50000 prize send full name address bank account wire transfer",phishing
"Final notice account deletion verify email password click link before account removed",phishing
"Urgent wire transfer needed send banking credentials confirm transaction immediately",phishing
"Apple ID suspended verify billing information credit card CVV number restore access",phishing
"Government grant approved claim $8000 send personal details bank account number now",phishing
"Security breach detected change password OTP verification required enter code now",phishing
"Dear John thanks for joining our team looking forward to working with you this week",safe
"Meeting rescheduled to Thursday 2pm please update your calendar accordingly thanks",safe
"Your Amazon order 12345 has been delivered please rate your experience today",safe
"Quarterly report attached please review figures before board meeting next Monday",safe
"Hi Sarah just checking in on the project timeline are we still on track for Friday",safe
"Your flight booking confirmation number AB123 departs Monday 9am terminal 2",safe
"Password reset successful if you did not request this please contact support team",safe
"Invoice 2024001 attached for services rendered in March payment due April 30th",safe
"Welcome to the team orientation starts Monday 9am HR will send building access pass",safe
"Subscription renewal notice your annual plan renews June 1st no action required",safe
"Team outing scheduled for Friday 5pm at local restaurant partners are also invited",safe
"Your support ticket 45678 has been resolved please rate our service experience",safe
"Monthly statement attached balance $1250 no unusual activity detected this period",safe
"Project alpha milestone completed ahead of schedule great work to everyone involved",safe
"Library book reminder item due for return next Tuesday please renew or return soon",safe
